Date,X,Y,Z,equip1,equip2
1996-06-11,2215.0,,,,
1996-06-12,2454.0,,,,
1996-07-02,1659.0,,,,
1996-07-03,1839.0,,,,
1996-07-05,1936.0,,,,
1996-07-06,1828.0,,,,
1996-07-08,1976.0,,,,
1996-07-10,2449.0,,,,
1996-07-11,2221.0,,,,
1996-08-01,1922.0,,,,
1996-08-02,1674.0,,,,
1996-08-03,1819.0,,,,
1996-08-05,193.0,,,,
1996-08-07,1935.0,,,,
1996-08-08,1997.0,,,,
1996-08-10,2458.0,,,,
1996-08-11,2298.0,,,,
1996-09-01,1866.0,,,,
1996-09-02,1678.0,,,,
1996-09-04,207.0,,,,
1996-09-05,188.0,,,,
1996-09-07,1953.0,,,,
1996-09-08,1993.0,,,,
1996-09-09,2261.0,,,,
1996-09-10,2427.0,,,,
1996-09-12,241.0,,,,
1996-10-01,185.0,,,,
1996-10-04,2203.0,,,,
1996-10-05,1905.0,,,,
1996-10-06,1828.0,,,,
1996-10-07,1964.0,,,,
1996-10-09,2288.0,,,,
1996-10-10,2359.0,,,,
1996-10-12,2329.0,,,,
1996-11-01,1789.0,,,,
1996-11-03,184.0,,,,
1996-11-04,2306.0,,,,
1996-11-06,1803.0,,,,
1996-11-07,2004.0,,,,
1996-11-09,2358.0,,,,
1996-11-10,2398.0,,,,
1996-11-11,2301.0,,,,
1996-11-12,2215.0,,,,
1996-12-01,1741.0,,,,
1996-12-02,1693.0,,,,
1996-12-03,1886.0,,,,
1996-12-04,2175.0,,,,
1996-12-06,1806.0,,,,
1996-12-07,2001.0,,,,
1996-12-08,2066.0,,,,
1996-12-09,2387.0,,,,
1996-12-11,2283.0,,,,
1996-12-12,2252.0,,,,
1997-01-04,1911.0,,,,
1997-01-05,1829.0,,,,
1997-01-07,188.0,,,,
1997-01-08,1895.0,,,,
1997-01-09,1843.0,,,,
1997-01-10,1982.0,,,,
1997-01-12,1816.0,,,,
1997-02-01,2422.0,,,,
1997-02-04,1851.0,,,,
1997-02-05,1797.0,,,,
1997-02-06,1952.0,,,,
1997-02-07,1892.0,,,,
1997-02-09,1844.0,,,,
1997-02-10,2048.0,,,,
1997-02-12,1819.0,,,,
1997-03-01,2412.0,,,,
1997-03-02,2254.0,,,,
1997-03-03,1892.0,,,,
1997-03-04,1818.0,,,,
1997-03-06,189.0,,,,
1997-03-07,1821.0,,,,
1997-03-09,1837.0,,,,
1997-03-10,2161.0,,,,
1997-03-11,1995.0,,,,
1997-03-12,1817.0,,,,
1997-04-02,2243.0,,,,
1997-04-03,195.0,,,,
